EnthalpyFus,JR Tm /K,CRC Tm /K
21.78,444.45,496.15
20.36,371.7,318.15
5.14,225.82,325.15
2.93,166.61,191.15
25.56,477.95,451.15
11.34,384.0,331.15
24.83,337.91,284.65
14.88,321.13,266.15
4.02,200.0,283.54999999999995
5.0,215.5,333.95
4.99,178.27,162.74999999999997
7.71,233.33,280.29999999999995
3.77,177.51,217.85
4.5,170.52,224.15
18.45,347.9,302.04999999999995
15.86,336.63,301.15
14.6,327.04,287.95
19.78,349.58,203.15
12.38,282.16,368.15
9.81,236.85,230.15
7.22,225.58,299.15
3.28,169.76,169.64999999999998
15.63,354.15,311.15
30.89,505.02,446.15
9.67,254.75,346.15
8.33,248.02,255.45
17.72,311.46000000000004,289.15
19.67,312.4,263.15
10.51,239.76,276.834
8.41,247.81,253.15
18.5,370.52,403.75
5.48,186.02,220.15
9.31,263.52,225.15
8.2,241.08,298.25
6.71,186.78,187.15
4.26,185.26,260.15
4.26,185.26,214.15
6.47,238.75,337.15
4.01,162.77,176.60999999999996
17.96,340.15,286.65
11.89,274.41,303.15
11.89,274.41,319.15
6.73,217.83,256.15
7.28,227.8,241.15
42.5,442.34,333.65
87.51,1028.69,541.15
14.39,313.38,291.65
6.86,224.77,237.77
5.44,175.01,163.14999999999998
21.51,349.13,411.15
45.45,577.31,322.35
36.57,595.45,443.55
10.17,232.02,372.65
16.6,441.2,387.15
53.0,702.24,579.15
9.53,224.26,230.25
9.53,224.26,242.8
23.95,244.46,269.25
32.05,368.98,332.85
41.94,523.66,404.15
33.25,362.16,271.85
25.7,238.92,247.86
25.74,263.28,280.15
22.22,248.28,262.15
23.26,252.39,287.15
23.26,252.39,264.15
20.38,200.7,206.94
21.86,197.38,161.14999999999998
21.86,197.38,200.15
31.21,267.33,258.15
31.24,296.5,258.75
28.54,269.71,251.04
72.52,424.13,282.35
26.74,245.47,232.15
24.78,308.56,199.15
47.41,651.53,373.55
47.51,708.2399999999999,450.15
27.86,451.9,509.15
16.21,340.57000000000005,363.15
105.04,1089.61,412.15
35.78,570.72,358.15
17.82,236.55,235.55
18.51,341.26000000000005,386.15
14.85,219.5,303.15
18.25,218.38,367.15
28.0,328.04,517.88
23.13,446.96,391.25
25.72,491.63,465.35
28.66,503.80000000000007,381.65
64.02,544.96,559.15
36.23,592.75,499.75
36.23,592.75,462.15
33.69,532.48,471.35
38.97,617.73,494.45
29.26,381.72,390.65
38.47,606.52,520.15
38.47,606.52,556.75
19.06,415.55000000000007,371.82
25.11,353.04,247.15
35.3,428.24,299.15
24.23,334.78,321.45
18.13,377.5,322.15
20.33,411.7,330.15
15.52,315.92,279.15
15.52,315.92,360.45
22.43,387.73,433.44
13.16,239.44,207.75
9.64,224.44,249.15
10.12,268.43,323.15
32.23,322.06,301.15
12.85,261.74,247.15
10.25,235.5,211.85
37.41,344.6,314.15
11.51,231.9,282.95
11.71,226.82,220.15
11.71,226.82,266.65
8.47,206.22,195.15
21.87,276.98,271.95
25.01,516.4200000000001,463.65
17.72,339.71,279.15
14.97,299.67,274.15
